date&time,cf,mfs,ts

12/26/2023, 4:46:25 PM,1.09,1904,1703589386
12/26/2023, 4:46:49 PM,2.85,8625,1703589409
12/26/2023, 4:47:04 PM,1.09,1908,1703589425
12/26/2023, 4:47:32 PM,5.42,13298,1703589452
12/26/2023, 4:47:48 PM,1.02,905,1703589468
12/26/2023, 4:48:06 PM,1.31,3527,1703589486
12/26/2023, 4:48:24 PM,1.33,3644,1703589505
12/26/2023, 4:48:46 PM,2.17,6868,1703589526
12/26/2023, 4:49:05 PM,1.36,3799,1703589546
12/26/2023, 4:49:29 PM,3.08,9122,1703589570
12/26/2023, 4:50:13 PM,22.08,29042,1703589613
12/26/2023, 4:50:35 PM,2.06,6518,1703589635
12/26/2023, 4:50:50 PM,1,629,1703589651
12/26/2023, 4:51:07 PM,1.08,1792,1703589668
12/26/2023, 4:51:29 PM,2.45,7638,1703589689
12/26/2023, 4:51:50 PM,2.07,6547,1703589710
12/26/2023, 4:52:24 PM,10.88,19887,1703589745
12/26/2023, 4:52:43 PM,1.32,3629,1703589764
12/26/2023, 4:52:59 PM,1.04,1275,1703589780
12/26/2023, 4:53:24 PM,3.31,9617,1703589804
12/26/2023, 4:54:00 PM,13.54,22402,1703589840
12/26/2023, 4:54:17 PM,1.11,2190,1703589858
12/26/2023, 4:54:36 PM,1.36,3844,1703589876
12/26/2023, 4:55:22 PM,26.9,32187,1703589922
12/26/2023, 4:55:39 PM,1.2,2831,1703589940
12/26/2023, 4:56:02 PM,2.76,8412,1703589963
12/26/2023, 4:56:18 PM,1.06,1673,1703589979
12/26/2023, 4:56:43 PM,3.46,9938,1703590003
12/26/2023, 4:57:25 PM,19.73,27377,1703590045
12/26/2023, 4:57:47 PM,2.27,7133,1703590068
12/26/2023, 4:58:07 PM,1.62,4981,1703590087
12/26/2023, 4:58:25 PM,1.31,3529,1703590105
12/26/2023, 4:58:44 PM,1.78,5590,1703590125
12/26/2023, 4:59:05 PM,1.92,6096,1703590145
12/26/2023, 4:59:28 PM,2.84,8599,1703590168
12/26/2023, 4:59:46 PM,1.23,3034,1703590187
12/26/2023, 5:00:07 PM,1.8,5692,1703590207
12/26/2023, 5:00:24 PM,1.13,2287,1703590224
12/26/2023, 5:00:40 PM,1.06,1670,1703590241
12/26/2023, 5:00:59 PM,1.39,3959,1703590260
12/26/2023, 5:01:38 PM,16.48,24895,1703590298
12/26/2023, 5:01:57 PM,1.52,4565,1703590317
12/26/2023, 5:02:14 PM,1.23,3043,1703590335
12/26/2023, 5:02:32 PM,1.38,3900,1703590352
12/26/2023, 5:02:56 PM,3.27,9536,1703590376
12/26/2023, 5:03:15 PM,1.71,5330,1703590395
12/26/2023, 5:03:34 PM,1.66,5175,1703590415
12/26/2023, 5:03:48 PM,1,7,1703590429
12/26/2023, 5:04:08 PM,1.53,4647,1703590448
12/26/2023, 5:04:25 PM,1.22,2970,1703590465
12/26/2023, 5:04:44 PM,1.66,5175,1703590484
12/26/2023, 5:05:02 PM,1.6,4901,1703590503
12/26/2023, 5:05:46 PM,22.35,29229,1703590546
12/26/2023, 5:06:05 PM,1.6,4938,1703590565
12/26/2023, 5:06:33 PM,6.34,14626,1703590594
12/26/2023, 5:06:59 PM,4.57,11956,1703590620
12/26/2023, 5:07:31 PM,8.26,17043,1703590651
12/26/2023, 5:07:51 PM,1.84,5830,1703590671
12/26/2023, 5:08:07 PM,1.17,2620,1703590688
12/26/2023, 5:08:33 PM,4.25,11406,1703590713
12/26/2023, 5:09:15 PM,21.4,28573,1703590756
12/26/2023, 5:09:33 PM,1.27,3296,1703590774
12/26/2023, 5:09:56 PM,2.89,8700,1703590796
12/26/2023, 5:10:19 PM,3.21,9408,1703590820
12/26/2023, 5:10:42 PM,2.67,8183,1703590842
12/26/2023, 5:11:02 PM,1.7,5301,1703590862
12/26/2023, 5:11:17 PM,1.01,891,1703590877
12/26/2023, 5:11:32 PM,1.02,896,1703590892
12/26/2023, 5:11:50 PM,1.31,3530,1703590911
12/26/2023, 5:12:08 PM,1.38,3910,1703590928
12/26/2023, 5:12:44 PM,13.37,22245,1703590965
12/26/2023, 5:12:59 PM,1,2,1703590979
12/26/2023, 5:13:24 PM,3.78,10548,1703591004
12/26/2023, 5:13:44 PM,1.83,5764,1703591024
12/26/2023, 5:14:13 PM,6.83,15273,1703591054
12/26/2023, 5:14:32 PM,1.52,4564,1703591073
12/26/2023, 5:15:01 PM,5.95,14083,1703591101
12/26/2023, 5:15:21 PM,1.85,5841,1703591121
12/26/2023, 5:15:46 PM,3.67,10338,1703591146
12/26/2023, 5:16:22 PM,12.94,21857,1703591182
12/26/2023, 5:16:40 PM,1.26,3231,1703591201
12/26/2023, 5:16:58 PM,1.26,3286,1703591218
12/26/2023, 5:17:40 PM,20.74,28102,1703591260
12/26/2023, 5:18:09 PM,6.4,14707,1703591289
12/26/2023, 5:18:41 PM,8.8,17664,1703591322
12/26/2023, 5:19:43 PM,1.05,1417,1703591383
12/26/2023, 5:20:06 PM,3.03,9021,1703591406
12/26/2023, 5:20:51 PM,26.22,31770,1703591452
12/26/2023, 5:21:12 PM,1.73,5440,1703591472
12/26/2023, 5:21:29 PM,1.15,2460,1703591489
12/26/2023, 5:21:55 PM,4.86,12428,1703591516
12/26/2023, 5:22:17 PM,2.24,7043,1703591537
12/26/2023, 5:22:39 PM,2.4,7487,1703591559
12/26/2023, 5:22:59 PM,1.41,4063,1703591579
12/26/2023, 5:23:19 PM,1.93,6106,1703591599
12/26/2023, 5:23:37 PM,1.31,3576,1703591617
12/26/2023, 5:23:56 PM,1.73,5417,1703591636
12/26/2023, 5:24:12 PM,1.15,2463,1703591653
12/26/2023, 5:24:51 PM,16.34,24779,1703591691
12/26/2023, 5:25:10 PM,1.46,4290,1703591710
12/26/2023, 5:25:34 PM,3.48,9962,1703591734
12/26/2023, 5:25:49 PM,1,631,1703591750
12/26/2023, 5:26:14 PM,3.23,9448,1703591774
12/26/2023, 5:26:33 PM,1.52,4602,1703591794
12/26/2023, 5:26:53 PM,1.68,5225,1703591814
12/26/2023, 5:27:10 PM,1.06,1673,1703591830
12/26/2023, 5:27:30 PM,1.78,5588,1703591851
12/26/2023, 5:27:52 PM,2.43,7564,1703591873
12/26/2023, 5:28:13 PM,1.96,6198,1703591893
12/26/2023, 5:28:39 PM,4.1,11142,1703591919
12/26/2023, 5:29:04 PM,3.55,10106,1703591944
12/26/2023, 5:29:21 PM,1.16,2536,1703591961
12/26/2023, 5:29:35 PM,1,11,1703591976
12/26/2023, 5:29:59 PM,2.91,8761,1703591999
12/26/2023, 5:30:50 PM,34.89,36820,1703592051
12/26/2023, 5:31:29 PM,15.41,24013,1703592090
12/26/2023, 5:31:58 PM,5.73,13758,1703592119
12/26/2023, 5:32:20 PM,2.05,6487,1703592140
12/26/2023, 5:32:36 PM,1.09,1900,1703592157
12/26/2023, 5:32:59 PM,2.81,8518,1703592179
12/26/2023, 5:33:13 PM,1,3,1703592193
12/26/2023, 5:33:34 PM,1.9,6031,1703592214
12/26/2023, 5:33:59 PM,3.84,10665,1703592239
12/26/2023, 5:34:22 PM,2.53,7834,1703592262
12/26/2023, 5:34:43 PM,1.8,5660,1703592283
12/26/2023, 5:35:23 PM,17.41,25624,1703592323
12/26/2023, 5:35:46 PM,2.46,7666,1703592346
12/26/2023, 5:36:29 PM,20.62,28017,1703592389
12/26/2023, 5:36:48 PM,1.38,3903,1703592409
12/26/2023, 5:37:06 PM,1.19,2760,1703592426
12/26/2023, 5:37:21 PM,1.04,1274,1703592442
12/26/2023, 5:37:40 PM,1.33,3687,1703592461
12/26/2023, 5:37:56 PM,1.07,1788,1703592477
12/26/2023, 5:38:14 PM,1.22,2973,1703592494
12/26/2023, 5:38:43 PM,6.48,14812,1703592523
12/26/2023, 5:38:57 PM,1,6,1703592537
12/26/2023, 5:39:23 PM,4.45,11754,1703592563
12/26/2023, 5:40:07 PM,24.06,30378,1703592607
12/26/2023, 5:40:28 PM,2.34,7327,1703592628
12/26/2023, 5:40:48 PM,1.82,5739,1703592648
12/26/2023, 5:41:07 PM,1.75,5512,1703592667
12/26/2023, 5:41:30 PM,2.97,8889,1703592690
12/26/2023, 5:41:53 PM,2.96,8859,1703592713
12/26/2023, 5:42:09 PM,1.02,897,1703592729
12/26/2023, 5:42:40 PM,8.37,17176,1703592761
12/26/2023, 5:43:00 PM,1.49,4438,1703592780
12/26/2023, 5:43:23 PM,2.73,8331,1703592803
12/26/2023, 5:43:40 PM,1.17,2612,1703592821
